Configuration,N,M,Taille front,NFA_min,NFR_min,SVM entraînés,Convergence (gen)
"N=20, M=60",20,60,20,0.0,0.0,1110,10
"N=40, M=60 (référence)",40,60,40,0.0,2.0,2307,8
"N=80, M=60",80,60,80,0.0,0.0,4616,53
"N=40, M=30",40,30,40,0.0,2.0,1162,8
"N=40, M=20",40,20,40,0.0,2.0,799,8
